,PPO,MVO,DJIA
2021-09-21,1331575.7536007431,1432920.8804424845,1318041.6079755197
2021-09-22,1344411.7483785753,1445992.2407716913,1331194.9011560131
2021-09-23,1369104.786601842,1462603.4690639523,1350876.2689430735
2021-09-24,1377349.3438680773,1469763.980159604,1352166.3104721198
2021-09-27,1360405.1404531603,1460291.2316819574,1354940.681464931
2021-09-28,1322704.378146947,1427256.409924775,1332815.232174082
2021-09-29,1323676.5970266466,1434725.5170575841,1336339.5849523994
2021-09-30,1312116.6539724474,1414052.946522674,1315092.226054012
2021-10-01,1335072.7695425157,1430291.1646278086,1333844.958228094
2021-10-04,1314029.4749792223,1402493.8029949334,1321270.5823780843
2021-10-05,1332879.0315435533,1417844.2267573816,1333386.4083446667
2021-10-06,1347564.3032491808,1426995.4279854505,1337361.5698465125
2021-10-07,1356616.4466589098,1446587.7065549097,1350491.4877598602
2021-10-08,1354963.798961461,1442999.4817885207,1350153.4571109384
2021-10-11,1351206.4967001085,1439774.7427778072,1340435.265688751
2021-10-12,1351752.5717894335,1435513.3466503546,1335857.8115892755
2021-10-13,1362305.3665152558,1435731.6280898452,1335838.3827958032
2021-10-14,1388566.4218808564,1466856.5292476022,1356619.4506508647
2021-10-15,1395551.629537381,1485887.3400084265,1371470.7900233145
2021-10-18,1398178.482184514,1495696.0312013775,1370064.1757334368
2021-10-19,1405914.456099904,1509901.7041008098,1377785.1479016903
2021-10-20,1410308.1887621048,1514673.8274439066,1383691.5011171557
2021-10-21,1420585.127269185,1524348.6361005958,1383450.6144355936
2021-10-22,1420240.9236474924,1527207.9560385668,1386322.1293957646
2021-10-25,1416634.4719916543,1533933.1650801925,1388812.9614338449
2021-10-26,1420238.070057847,1537065.8212243773,1389426.7898775986
2021-10-27,1445407.1202382974,1528607.5225247848,1379082.9305906354
2021-10-28,1445407.1202382974,1528607.5225247848,1388401.0102972605
